DCCA Code,District,Geographical Constituency,Counting Station,801,802,803,804,805,806,807,808,809,Total ,dcca_winner,,,,,
T0104,ISLANDS DISTRICT, NEW TERRITORIES WEST,Auxiliary Medical Service Tung Chung Training Centre,54,41,101,12,15,97,5,65,158,548,809,,,,,
T0107,ISLANDS DISTRICT, NEW TERRITORIES WEST,Mui Wo Sports Centre,118,86,303,14,35,143,14,235,379,1327,809,,,,,
T0109,ISLANDS DISTRICT, NEW TERRITORIES WEST,Bui O Public School,45,31,83,8,22,49,8,51,132,429,809,,,,,
T0201,ISLANDS DISTRICT, NEW TERRITORIES WEST,Tung Chung Catholic School,358,319,941,30,47,1536,54,648,391,4324,806,,,,,
T0301,ISLANDS DISTRICT, NEW TERRITORIES WEST,HKFEW Wong Cho Bau School,487,398,1429,62,81,1101,46,977,622,5203,803,,,,,
T0401,ISLANDS DISTRICT, NEW TERRITORIES WEST,Tung Chung Community Hall,516,548,1069,25,108,302,30,518,988,4104,803,,,,,
T0501,ISLANDS DISTRICT, NEW TERRITORIES WEST,HKFEW Wong Cho Bau Secondary School,509,315,1474,57,84,474,44,917,1513,5387,809,,,,,
T0601,ISLANDS DISTRICT, NEW TERRITORIES WEST,Discovery Bay Community Hall,297,277,588,18,107,87,4,277,308,1963,803,,,,,
T0701,ISLANDS DISTRICT, NEW TERRITORIES WEST,Peng Chau Sports Centre,141,171,294,13,14,184,14,476,582,1889,809,,,,,
T0801,ISLANDS DISTRICT, NEW TERRITORIES WEST,Lamma Island (North) Rural Committee,109,82,285,8,37,72,6,187,405,1191,809,,,,,
T0901,ISLANDS DISTRICT, NEW TERRITORIES WEST,Buddhist Wai Yan Memorial College,182,136,367,23,22,134,15,300,471,1650,809,,,,,
T0902,ISLANDS DISTRICT, NEW TERRITORIES WEST,Caritas Chan Chun Ha Field Studies Centre (St.Paul Campus),90,74,253,8,15,60,10,178,205,893,803,,,,,
T1001,ISLANDS DISTRICT, NEW TERRITORIES WEST,Cheung Chau Sports Centre,109,72,235,10,7,61,7,141,344,986,809,,,,,
