,,,候選人名單編號 Candidiates List Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0801,聖公會李福慶中學,SKH Li Fook Hing Secondary School,391 ,650 ,150 ,105 ,428 ,"1,493 ",580 ,,,,,,,,"3,797 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0901,福建中學 (小西灣),Fukien Secondary School (Siu Sai Wan),631 ,"1,189 ",164 ,126 ,654 ,"1,023 ",587 ,,,,,,,,"4,374 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1001,小西灣社區會堂,Siu Sai Wan Community Hall,466 ,985 ,159 ,130 ,633 ,"1,239 ","1,040 ",,,,,,,,"4,652 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1101,培僑小學,Pui Kiu Primary School,695 ,"1,484 ",189 ,178 ,740 ,"1,099 ","1,077 ",,,,,,,,"5,462 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1201,救世軍中原慈善基金學校,The Salvation Army Centaline Charity Fund School,380 ,723 ,155 ,106 ,460 ,"1,218 ",611 ,,,,,,,,"3,653 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1301,文理書院 (香港),Cognitio College (Hong Kong),436 ,718 ,137 ,114 ,557 ,"1,098 ",629 ,,,,,,,,"3,689 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1401,鰂魚涌體育館,Quarry Bay Sports Centre,601 ,958 ,144 ,138 ,538 ,"1,778 ",515 ,,,,,,,,"4,672 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1501,閩僑中學,Man Kiu College,557 ,733 ,139 ,122 ,287 ,820 ,184 ,,,,,,,,"2,842 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1601,蒙特梭利國際學校,The International Montessori School - An IMEF School,168 ,237 ,41 ,32 ,114 ,198 ,75 ,,,,,,,,865 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1602,香港真光中學,True Light Middle School of Hong Kong,225 ,448 ,76 ,91 ,266 ,411 ,383 ,,,,,,,,"1,900 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1701,聖公會聖米迦勒小學,SKH St. Michael's Primary School,383 ,568 ,90 ,79 ,352 ,519 ,212 ,,,,,,,,"2,203 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1801,皇仁書院,Queen’s College,397 ,542 ,115 ,83 ,337 ,717 ,263 ,,,,,,,,"2,454 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1901,銅鑼灣社區中心,Causeway Bay Community Centre,498 ,794 ,150 ,142 ,475 ,"1,055 ",360 ,,,,,,,,"3,474 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
